,ageEstimate,companyFollowerCount,companyHasLogo,companyName,companyStaffCount,companyUrl,companyUrn,connectionsCount,country,endDate,followable,followersCount,genderEstimate,hasPicture,isPremium,mbrLocation,mbrLocationCode,mbrTitle,memberUrn,posLocation,posLocationCode,posTitle,positionId,startDate,avgMemberPosDuration,avgCompanyPosDuration,,,,,,,,,,,,,,
22,40,45954,5612f64a-f8fd-43bb-9c57-01bf4fd94f44-2.png,Costain Group PLC,3528,http://www.costain.com,urn:li:company:15806,500,au,12/1/2006,1,556,,2cd3f7f6-6341-4748-a0d0-f577a54e9e70-3.jpg,0,"Sydney, Australia","urn:li:fs_region:(au,4910)",Construction Manager at Laing O'Rourke,urn:li:member:100207000,A34/M4 J13 Chieveley; Sirhowy Enterprise Way; Porth Relief Road,,Section Engineer,227263,1/1/2003,988.8333,944.1091,,,,,,,,,,,,,,
23,40,205942,af562fc6-a76d-4b7c-9e19-8d41df041a32-2.png,Lendlease,14094,http://www.lendlease.com,urn:li:company:4853,500,au,12/1/2001,1,556,,2cd3f7f6-6341-4748-a0d0-f577a54e9e70-3.jpg,0,"Sydney, Australia","urn:li:fs_region:(au,4910)",Construction Manager at Laing O'Rourke,urn:li:member:100207000,,,Undergraduate,227265,1/1/2000,988.8333,948.31,,,,,,,,,,,,,,
24,40,149380,3259c375-5237-48a0-858b-da564cc27b50-2.png,Laing O'Rourke,7114,http://www.laingorourke.com,urn:li:company:164668,500,au,,1,556,,2cd3f7f6-6341-4748-a0d0-f577a54e9e70-3.jpg,0,"Sydney, Australia","urn:li:fs_region:(au,4910)",Construction Manager at Laing O'Rourke,urn:li:member:100207000,Sydney Yard Access Bridge,"urn:li:fs_region:(au,4910)",Construction Manager,27332200,1/1/2017,988.8333,769.3222,,,,,,,,,,,,,,
25,42,37530,60d1abf9-8b68-438e-a7aa-7ddbd02da613-2.png,Transport for NSW,4218,http://www.transport.nsw.gov.au,urn:li:company:624981,500,au,,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Sydney, Australia","urn:li:fs_region:(au,4910)",Manager - Organisational Strategy,32365,1/1/2016,673.3571,574.1019,,,,,,,,,,,,,,
26,42,23099,0c60a1e8-ff6d-4c09-b74b-7a73b4bbd475-2.png,Reserve Bank of Australia,1146,http://www.rba.gov.au,urn:li:company:165713,500,au,12/1/2016,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Sydney, Australia","urn:li:fs_region:(au,4910)",Talent Management Lead,32366,1/1/2014,673.3571,1008.6918,,,,,,,,,,,,,,
27,42,58372,18f8e5dd-4bfb-4a8d-b980-7df4d0edea16-2.png,Amcor,9391,http://www.amcor.com,urn:li:company:6311,500,au,12/1/2014,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,44 Countries,,Global Talent Management Lead,32367,1/1/2013,673.3571,1280.0075,,,,,,,,,,,,,,
28,42,62718,b12f1764-b9a0-4bba-abaa-1b93b67afdf4-2.png,Orica,5778,http://www.orica.com,urn:li:company:7345,500,au,12/1/2013,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,53 Countries,,Global Talent Management Lead,32368,1/1/2012,673.3571,1094.2537,,,,,,,,,,,,,,
29,42,68163,21d379ab-2420-44ed-9530-078f7a165d80-2.png,SAP Ariba,3367,http://www.ariba.com,urn:li:company:2818,500,au,12/1/2012,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,Australia,"urn:li:fs_region:(au,0)",APAC Talent Management Lead,32369,1/1/2012,673.3571,951.2526,,,,,,,,,,,,,,
30,42,4385293,e8d29e8b-1601-462c-b780-0f8c19f97157-2.png,IBM,568533,http://www.ibm.com,urn:li:company:1009,500,au,12/1/2011,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Sydney, Australia","urn:li:fs_region:(au,4910)",Recruitment Business Partner,32370,1/1/2011,673.3571,1188.7339,,,,,,,,,,,,,,
31,42,380980,a9f03ab3-8510-4ad2-88cc-cd3aedd696e6-2.png,NetApp,11689,http://www.netapp.com/us/index.aspx,urn:li:company:2105,500,au,12/1/2011,1,15286,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0,"Sydney Area, Australia","urn:li:fs_region:(au,4910)",Educ8 - Innov8 - Cultiv8 - Founder #Elev8 - #Speaker #Advisor #Trainer My Focus? Tech and People Strategy & Planning,urn:li:member:100271877,"Brussels Area, Belgium","urn:li:fs_region:(be,4920)",EMEA Talent Lead,32371,1/1/2010,673.3571,1012.2407,,,,,,,,,,,,,,
